gu,dong,number,기준_년분기_코드,행정동_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,보증금(만원)_전세,임대료(만원)_전세,임대면적_전세,보증금(만원)_월세,임대료(만원)_월세,임대면적_월세
용산구,한남동,4921,20242,11170685,171,30.0,11.0,1.0,,13.0,3.0,1.0,,,,,3.0,,,,,,2.0,36.0,75677.38723404256,0.0,76.73825531914895,19546.885869565216,291.1657608695652,72.33722826086957
성동구,왕십리2동,3002,20242,11200520,63,2.0,,,,5.0,1.0,1.0,,,,,,,,,,,1.0,18.0,,,,,,
성동구,마장동,5355,20242,11200540,111,6.0,5.0,,,8.0,2.0,2.0,2.0,,,,,,,,,,1.0,29.0,28822.80790960452,0.0,51.419293785310735,4241.826409495549,54.55192878338279,29.20339762611276
성동구,사근동,6165,20242,11200550,128,5.0,3.0,1.0,,10.0,,2.0,1.0,2.0,52.0,,1.0,,,,,,2.0,34.0,16834.265734265733,0.0,33.257202797202794,2648.922558922559,50.2020202020202,24.58838383838384
성동구,행당1동,2805,20242,11200560,130,9.0,4.0,,2.0,13.0,1.0,1.0,,,,,1.0,1.0,,,,,4.0,30.0,,,,,,
성동구,행당2동,2456,20242,11200570,79,2.0,2.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0,,,,,,
성동구,응봉동,1618,20242,11200580,56,3.0,,,,2.0,,1.0,1.0,,,,,,,,,,1.0,30.0,38404.86068111455,0.0,68.98201238390092,11963.10465116279,103.33720930232558,66.11273255813953
성동구,금호1가동,2291,20242,11200590,88,2.0,,,,6.0,1.0,1.0,,1.0,,,,,,,,,1.0,45.0,,,,,,
성동구,금호4가동,2354,20242,11200620,84,3.0,3.0,,,6.0,1.0,2.0,,,,,,,,,,,1.0,27.0,,,,,,
성동구,성수1가1동,3313,20242,11200650,83,4.0,2.0,,,4.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,1.0,33.0,,,,,,
성동구,성수1가2동,2767,20242,11200660,79,3.0,6.0,,,6.0,,,1.0,1.0,1.0,,,,,,,,1.0,12.0,,,,,,
성동구,성수2가1동,3887,20242,11200670,109,3.0,3.0,,,13.0,,1.0,2.0,1.0,,,2.0,,1.0,,,,,38.0,,,,,,
성동구,성수2가3동,2730,20242,11200690,104,3.0,16.0,,,11.0,,2.0,,,,,,1.0,,,,,1.0,20.0,,,,,,
